ticker,close,vwap,adv_shares,tradable,upper_limit_hit,lower_limit_hit
AAPL,248.800003,248.800003,40546695.000000,true,false,false
MSFT,356.769989,356.769989,32756360.000000,true,false,false
NVDA,167.520004,167.520004,180721205.000000,true,false,false
AVGO,300.679993,300.679993,29606305.000000,true,false,false
ORCL,139.660004,139.660004,28821560.000000,true,false,false
PLTR,143.059998,143.059998,48390440.000000,true,false,false
LLY,878.239990,878.239990,2778880.000000,true,false,false
UNH,259.019989,259.019989,8736880.000000,true,false,false
JNJ,240.449997,240.449997,7779940.000000,true,false,false
ABBV,209.399994,209.399994,7528325.000000,true,false,false
VRTX,433.070007,433.070007,1462480.000000,true,false,false
MRNA,49.560001,49.560001,8843330.000000,true,false,false
JPM,282.839996,282.839996,10972745.000000,true,false,false
BAC,46.970001,46.970001,44047955.000000,true,false,false
GS,802.890015,802.890015,2432855.000000,true,false,false
SOFI,15.230000,15.230000,70772950.000000,true,false,false
AFRM,42.529999,42.529999,5753070.000000,true,false,false
AMZN,199.339996,199.339996,45216310.000000,true,false,false
TSLA,361.829987,361.829987,60949305.000000,true,false,false
HD,321.649994,321.649994,4257745.000000,true,false,false
MCD,305.899994,305.899994,3217845.000000,true,false,false
RIVN,14.770000,14.770000,30068050.000000,true,false,false
GOOGL,274.339996,274.339996,29596190.000000,true,false,false
META,525.719971,525.719971,14834390.000000,true,false,false
NFLX,93.430000,93.430000,43092395.000000,true,false,false
SNAP,3.930000,3.930000,41016960.000000,true,false,false
ROKU,87.150002,87.150002,2916040.000000,true,false,false
UBER,69.180000,69.180000,18281010.000000,true,false,false
GE,282.809998,282.809998,5423185.000000,true,false,false
CAT,695.400024,695.400024,2704915.000000,true,false,false
RTX,189.710007,189.710007,6067595.000000,true,false,false
RKLB,60.930000,60.930000,22298720.000000,true,false,false
LIN,491.119995,491.119995,2867985.000000,true,false,false
FCX,56.240002,56.240002,19524355.000000,true,false,false
NEM,102.099998,102.099998,12272690.000000,true,false,false
MP,51.799999,51.799999,5483125.000000,true,false,false
XOM,170.990005,170.990005,24407250.000000,true,false,false
CVX,211.149994,211.149994,15304345.000000,true,false,false
APA,44.389999,44.389999,10422730.000000,true,false,false
NEE,91.400002,91.400002,9556165.000000,true,false,false
SO,95.550003,95.550003,5422440.000000,true,false,false
AES,14.000000,14.000000,20507455.000000,true,false,false
WMT,122.889999,122.889999,20902510.000000,true,false,false
COST,983.859985,983.859985,1728475.000000,true,false,false
KO,75.709999,75.709999,16740830.000000,true,false,false
CELH,33.939999,33.939999,6966165.000000,true,false,false
AMT,169.520004,169.520004,3267515.000000,true,false,false
PLD,128.899994,128.899994,3518415.000000,true,false,false
SBAC,167.059998,167.059998,968935.000000,true,false,false
UPST,24.770000,24.770000,5156850.000000,true,false,false
