ticker,factor,exposure
000333,保险,0.000000
000333,光伏设备,0.000000
000333,化学制药,0.000000
000333,电池,0.000000
000333,白色家电,1.000000
000333,白酒,0.000000
000858,保险,0.000000
000858,光伏设备,0.000000
000858,化学制药,0.000000
000858,电池,0.000000
000858,白色家电,0.000000
000858,白酒,1.000000
300750,保险,0.000000
300750,光伏设备,0.000000
300750,化学制药,0.000000
300750,电池,1.000000
300750,白色家电,0.000000
300750,白酒,0.000000
600276,保险,0.000000
600276,光伏设备,0.000000
600276,化学制药,1.000000
600276,电池,0.000000
600276,白色家电,0.000000
600276,白酒,0.000000
600519,保险,0.000000
600519,光伏设备,0.000000
600519,化学制药,0.000000
600519,电池,0.000000
600519,白色家电,0.000000
600519,白酒,1.000000
601012,保险,0.000000
601012,光伏设备,1.000000
601012,化学制药,0.000000
601012,电池,0.000000
601012,白色家电,0.000000
601012,白酒,0.000000
601318,保险,1.000000
601318,光伏设备,0.000000
601318,化学制药,0.000000
601318,电池,0.000000
601318,白色家电,0.000000
601318,白酒,0.000000
