ticker,factor,exposure
AAPL,Basic Materials,0.000000
AAPL,Communication Services,0.000000
AAPL,Consumer Cyclical,0.000000
AAPL,Consumer Defensive,0.000000
AAPL,Energy,0.000000
AAPL,Financial Services,0.000000
AAPL,Healthcare,0.000000
AAPL,Industrials,0.000000
AAPL,Real Estate,0.000000
AAPL,Technology,1.000000
AAPL,Utilities,0.000000
ABBV,Basic Materials,0.000000
ABBV,Communication Services,0.000000
ABBV,Consumer Cyclical,0.000000
ABBV,Consumer Defensive,0.000000
ABBV,Energy,0.000000
ABBV,Financial Services,0.000000
ABBV,Healthcare,1.000000
ABBV,Industrials,0.000000
ABBV,Real Estate,0.000000
ABBV,Technology,0.000000
ABBV,Utilities,0.000000
AES,Basic Materials,0.000000
AES,Communication Services,0.000000
AES,Consumer Cyclical,0.000000
AES,Consumer Defensive,0.000000
AES,Energy,0.000000
AES,Financial Services,0.000000
AES,Healthcare,0.000000
AES,Industrials,0.000000
AES,Real Estate,0.000000
AES,Technology,0.000000
AES,Utilities,1.000000
AFRM,Basic Materials,0.000000
AFRM,Communication Services,0.000000
AFRM,Consumer Cyclical,0.000000
AFRM,Consumer Defensive,0.000000
AFRM,Energy,0.000000
AFRM,Financial Services,1.000000
AFRM,Healthcare,0.000000
AFRM,Industrials,0.000000
AFRM,Real Estate,0.000000
AFRM,Technology,0.000000
AFRM,Utilities,0.000000
AMT,Basic Materials,0.000000
AMT,Communication Services,0.000000
AMT,Consumer Cyclical,0.000000
AMT,Consumer Defensive,0.000000
AMT,Energy,0.000000
AMT,Financial Services,0.000000
AMT,Healthcare,0.000000
AMT,Industrials,0.000000
AMT,Real Estate,1.000000
AMT,Technology,0.000000
AMT,Utilities,0.000000
AMZN,Basic Materials,0.000000
AMZN,Communication Services,0.000000
AMZN,Consumer Cyclical,1.000000
AMZN,Consumer Defensive,0.000000
AMZN,Energy,0.000000
AMZN,Financial Services,0.000000
AMZN,Healthcare,0.000000
AMZN,Industrials,0.000000
AMZN,Real Estate,0.000000
AMZN,Technology,0.000000
AMZN,Utilities,0.000000
APA,Basic Materials,0.000000
APA,Communication Services,0.000000
APA,Consumer Cyclical,0.000000
APA,Consumer Defensive,0.000000
APA,Energy,1.000000
APA,Financial Services,0.000000
APA,Healthcare,0.000000
APA,Industrials,0.000000
APA,Real Estate,0.000000
APA,Technology,0.000000
APA,Utilities,0.000000
AVGO,Basic Materials,0.000000
AVGO,Communication Services,0.000000
AVGO,Consumer Cyclical,0.000000
AVGO,Consumer Defensive,0.000000
AVGO,Energy,0.000000
AVGO,Financial Services,0.000000
AVGO,Healthcare,0.000000
