date,ticker,return
2025-03-28,AAPL,-0.026580
2025-03-28,ABBV,0.012678
2025-03-28,AES,-0.001609
2025-03-28,AFRM,-0.024905
2025-03-28,AMT,0.007101
2025-03-28,AMZN,-0.042908
2025-03-28,APA,-0.013208
2025-03-28,AVGO,-0.016687
2025-03-28,BAC,-0.030780
2025-03-28,CAT,-0.028323
2025-03-28,CELH,-0.042674
2025-03-28,COST,-0.009683
2025-03-28,CVX,-0.003360
2025-03-28,FCX,-0.039020
2025-03-28,GE,-0.029143
2025-03-28,GOOGL,-0.048755
2025-03-28,GS,-0.028269
2025-03-28,HD,-0.012627
2025-03-28,JNJ,0.003555
2025-03-28,JPM,-0.021240
2025-03-28,KO,-0.005230
2025-03-28,LIN,-0.012093
2025-03-28,LLY,0.001022
2025-03-28,MCD,-0.017909
2025-03-28,META,-0.042882
2025-03-28,MP,-0.007642
2025-03-28,MRNA,-0.031133
2025-03-28,MSFT,-0.030160
2025-03-28,NEE,0.005997
2025-03-28,NEM,-0.006406
2025-03-28,NFLX,-0.043892
2025-03-28,NVDA,-0.015795
2025-03-28,ORCL,-0.033681
2025-03-28,PLD,-0.002709
2025-03-28,PLTR,-0.047064
2025-03-28,RIVN,-0.046851
2025-03-28,RKLB,0.010858
2025-03-28,ROKU,-0.046811
2025-03-28,RTX,-0.012816
2025-03-28,SBAC,0.002126
2025-03-28,SNAP,-0.030534
2025-03-28,SO,0.012218
2025-03-28,SOFI,-0.028688
2025-03-28,TSLA,-0.035075
2025-03-28,UBER,-0.028186
2025-03-28,UNH,0.000621
2025-03-28,UPST,-0.036863
2025-03-28,VRTX,-0.019620
2025-03-28,WMT,-0.005605
2025-03-28,XOM,-0.001357
2025-03-31,AAPL,0.019413
2025-03-31,ABBV,0.020605
2025-03-31,AES,0.000806
2025-03-31,AFRM,-0.021862
2025-03-31,AMT,0.009464
2025-03-31,AMZN,-0.012765
2025-03-31,APA,0.004780
2025-03-31,AVGO,-0.009993
2025-03-31,BAC,0.011636
2025-03-31,CAT,0.000334
2025-03-31,CELH,0.058544
2025-03-31,COST,0.017340
2025-03-31,CVX,0.007225
2025-03-31,FCX,-0.014576
2025-03-31,GE,0.001351
2025-03-31,GOOGL,0.002009
2025-03-31,GS,0.005837
2025-03-31,HD,0.023286
2025-03-31,JNJ,0.013011
2025-03-31,JPM,0.010089
2025-03-31,KO,0.017763
2025-03-31,LIN,0.014223
2025-03-31,LLY,0.004134
2025-03-31,MCD,0.017194
2025-03-31,META,-0.000659
2025-03-31,MP,-0.060069
2025-03-31,MRNA,-0.089010
2025-03-31,MSFT,-0.009002
2025-03-31,NEE,0.006246
2025-03-31,NEM,0.004160
2025-03-31,NFLX,-0.001414
2025-03-31,NVDA,-0.011763
2025-03-31,ORCL,-0.007525
2025-03-31,PLD,0.012132
2025-03-31,PLTR,-0.016890
2025-03-31,RIVN,0.003223
2025-03-31,RKLB,-0.039742
2025-03-31,ROKU,-0.028280
2025-03-31,RTX,0.005618
2025-03-31,SBAC,0.014619
2025-03-31,SNAP,-0.020248
2025-03-31,SO,0.008998
2025-03-31,SOFI,-0.018565
2025-03-31,TSLA,-0.016657
2025-03-31,UBER,0.001512
2025-03-31,UNH,0.014941
2025-03-31,UPST,-0.026644
2025-03-31,VRTX,-0.015974
2025-03-31,WMT,0.031004
2025-03-31,XOM,0.010193
2025-04-01,AAPL,0.004772
2025-04-01,ABBV,-0.015512
2025-04-01,AES,-0.004026
2025-04-01,AFRM,0.007081
2025-04-01,AMT,0.008456
2025-04-01,AMZN,0.010039
2025-04-01,APA,0.005233
2025-04-01,AVGO,0.006510
2025-04-01,BAC,-0.005751
2025-04-01,CAT,0.002335
2025-04-01,CELH,0.003088
2025-04-01,COST,0.009114
2025-04-01,CVX,0.007293
2025-04-01,FCX,0.007132
2025-04-01,GE,0.018186
2025-04-01,GOOGL,0.015714
2025-04-01,GS,0.003954
2025-04-01,HD,-0.002647
2025-04-01,JNJ,-0.075917
2025-04-01,JPM,-0.006686
2025-04-01,KO,0.003491
2025-04-01,LIN,0.003114
2025-04-01,LLY,-0.025039
2025-04-01,MCD,0.004034
2025-04-01,META,0.016726
2025-04-01,MP,0.031135
2025-04-01,MRNA,-0.041975
2025-04-01,MSFT,0.018114
2025-04-01,NEE,0.000423
2025-04-01,NEM,0.000207
2025-04-01,NFLX,-0.004450
2025-04-01,NVDA,0.016331
2025-04-01,ORCL,0.015235
2025-04-01,PLD,-0.003041
2025-04-01,PLTR,0.003318
2025-04-01,RIVN,0.066667
2025-04-01,RKLB,0.015101
2025-04-01,ROKU,0.002271
2025-04-01,RTX,0.002944
2025-04-01,SBAC,0.001864
2025-04-01,SNAP,0.025258
2025-04-01,SO,-0.001414
2025-04-01,SOFI,0.024076
2025-04-01,TSLA,0.035885
2025-04-01,UBER,0.001784
2025-04-01,UNH,-0.001203
2025-04-01,UPST,-0.000652
2025-04-01,VRTX,-0.000165
2025-04-01,WMT,0.011846
2025-04-01,XOM,0.000925
2025-04-02,AAPL,0.003136
2025-04-02,ABBV,-0.005236
2025-04-02,AES,0.008892
2025-04-02,AFRM,0.049220
2025-04-02,AMT,-0.007018
2025-04-02,AMZN,0.019982
2025-04-02,APA,0.005206
2025-04-02,AVGO,0.021184
2025-04-02,BAC,0.008677
2025-04-02,CAT,0.012373
2025-04-02,CELH,0.028547
2025-04-02,COST,0.011190
2025-04-02,CVX,-0.012106
2025-04-02,FCX,0.001836
2025-04-02,GE,-0.019726
2025-04-02,GOOGL,-0.000191
2025-04-02,GS,0.026712
2025-04-02,HD,0.014691
2025-04-02,JNJ,0.013768
2025-04-02,JPM,0.008865
2025-04-02,KO,-0.007514
2025-04-02,LIN,0.005673
2025-04-02,LLY,0.016132
2025-04-02,MCD,-0.006536
2025-04-02,META,-0.003532
2025-04-02,MP,-0.000397
2025-04-02,MRNA,0.020619
2025-04-02,MSFT,-0.000131
2025-04-02,NEE,-0.006204
2025-04-02,NEM,0.009112
2025-04-02,NFLX,0.007691
2025-04-02,NVDA,0.002451
2025-04-02,ORCL,0.027617
2025-04-02,PLD,0.007986
2025-04-02,PLTR,0.032711
2025-04-02,RIVN,-0.059488
2025-04-02,RKLB,0.065565
2025-04-02,ROKU,0.011615
2025-04-02,RTX,0.002258
2025-04-02,SBAC,-0.004900
2025-04-02,SNAP,-0.005599
2025-04-02,SO,-0.005663
2025-04-02,SOFI,0.033585
2025-04-02,TSLA,0.053267
2025-04-02,UBER,0.020688
2025-04-02,UNH,0.000153
2025-04-02,UPST,0.035435
2025-04-02,VRTX,-0.002579
2025-04-02,WMT,0.010469
2025-04-02,XOM,-0.003108
2025-04-03,AAPL,-0.092456
2025-04-03,ABBV,-0.017301
2025-04-03,AES,-0.046474
2025-04-03,AFRM,-0.185131
2025-04-03,AMT,0.047224
2025-04-03,AMZN,-0.089791
2025-04-03,APA,-0.164783
2025-04-03,AVGO,-0.105061
2025-04-03,BAC,-0.110633
2025-04-03,CAT,-0.086356
2025-04-03,CELH,-0.020408
2025-04-03,COST,0.002072
2025-04-03,CVX,-0.062173
2025-04-03,FCX,-0.122775
2025-04-03,GE,-0.060770
2025-04-03,GOOGL,-0.040244
2025-04-03,GS,-0.092115
2025-04-03,HD,-0.040389
2025-04-03,JNJ,0.028708
2025-04-03,JPM,-0.069685
2025-04-03,KO,0.025936
2025-04-03,LIN,-0.005365
2025-04-03,LLY,-0.035602
2025-04-03,MCD,0.021471
2025-04-03,META,-0.089583
2025-04-03,MP,-0.013514
2025-04-03,MRNA,-0.071789
2025-04-03,MSFT,-0.023630
2025-04-03,NEE,0.023553
2025-04-03,NEM,-0.008208
2025-04-03,NFLX,-0.019743
2025-04-03,NVDA,-0.078066
2025-04-03,ORCL,-0.059166
2025-04-03,PLD,-0.095692
2025-04-03,PLTR,-0.044025
2025-04-03,RIVN,-0.076861
2025-04-03,RKLB,-0.074974
2025-04-03,ROKU,-0.156259
2025-04-03,RTX,-0.021930
2025-04-03,SBAC,0.052567
2025-04-03,SNAP,-0.096847
2025-04-03,SO,0.013801
2025-04-03,SOFI,-0.135662
2025-04-03,TSLA,-0.054746
2025-04-03,UBER,-0.062416
2025-04-03,UNH,0.032951
2025-04-03,UPST,-0.187697
2025-04-03,VRTX,0.001076
2025-04-03,WMT,-0.027852
2025-04-03,XOM,-0.052583
2025-04-04,AAPL,-0.072887
2025-04-04,ABBV,-0.072803
2025-04-04,AES,-0.094118
2025-04-04,AFRM,-0.081213
2025-04-04,AMT,-0.035146
2025-04-04,AMZN,-0.041534
2025-04-04,APA,-0.144307
2025-04-04,AVGO,-0.050127
2025-04-04,BAC,-0.076034
2025-04-04,CAT,-0.057823
2025-04-04,CELH,-0.012778
2025-04-04,COST,-0.052322
2025-04-04,CVX,-0.082244
2025-04-04,FCX,-0.130110
2025-04-04,GE,-0.110963
2025-04-04,GOOGL,-0.033970
2025-04-04,GS,-0.079064
2025-04-04,HD,-0.005648
2025-04-04,JNJ,-0.041171
2025-04-04,JPM,-0.080502
2025-04-04,KO,-0.044411
2025-04-04,LIN,-0.062626
2025-04-04,LLY,-0.064479
2025-04-04,MCD,-0.057058
2025-04-04,META,-0.050581
2025-04-04,MP,-0.070911
2025-04-04,MRNA,-0.024096
2025-04-04,MSFT,-0.035566
2025-04-04,NEE,-0.072498
2025-04-04,NEM,-0.085868
2025-04-04,NFLX,-0.066725
2025-04-04,NVDA,-0.073576
2025-04-04,ORCL,-0.065292
2025-04-04,PLD,-0.033074
2025-04-04,PLTR,-0.114713
2025-04-04,RIVN,-0.027754
2025-04-04,RKLB,-0.084964
2025-04-04,ROKU,-0.082642
2025-04-04,RTX,-0.098134
2025-04-04,SBAC,-0.047473
2025-04-04,SNAP,0.003741
2025-04-04,SO,-0.039110
2025-04-04,SOFI,-0.100564
2025-04-04,TSLA,-0.104198
2025-04-04,UBER,-0.074875
2025-04-04,UNH,-0.028477
2025-04-04,UPST,-0.100543
2025-04-04,VRTX,-0.019400
