date,ticker,return
2026-03-10,000333,0.0021
2026-03-10,000858,-0.0018
2026-03-10,300750,0.0042
2026-03-10,600276,0.0012
2026-03-10,600519,0.0008
2026-03-10,601012,0.0033
2026-03-10,601318,-0.0007
2026-03-11,000333,-0.0012
2026-03-11,000858,0.0009
2026-03-11,300750,-0.0026
2026-03-11,600276,0.0011
2026-03-11,600519,0.0005
2026-03-11,601012,-0.0018
2026-03-11,601318,0.0002
2026-03-12,000333,0.0030
2026-03-12,000858,0.0022
2026-03-12,300750,0.0055
2026-03-12,600276,0.0017
2026-03-12,600519,0.0011
2026-03-12,601012,0.0038
2026-03-12,601318,0.0009
2026-03-13,000333,-0.0008
2026-03-13,000858,-0.0015
2026-03-13,300750,-0.0032
2026-03-13,600276,0.0004
2026-03-13,600519,-0.0002
2026-03-13,601012,-0.0027
2026-03-13,601318,-0.0005
2026-03-16,000333,0.0015
2026-03-16,000858,0.0010
2026-03-16,300750,0.0028
2026-03-16,600276,0.0009
2026-03-16,600519,0.0006
2026-03-16,601012,0.0019
2026-03-16,601318,0.0003
2026-03-17,000333,-0.0020
2026-03-17,000858,-0.0011
2026-03-17,300750,-0.0041
2026-03-17,600276,-0.0006
2026-03-17,600519,-0.0004
2026-03-17,601012,-0.0030
2026-03-17,601318,-0.0009
2026-03-18,000333,0.0026
2026-03-18,000858,0.0017
2026-03-18,300750,0.0039
2026-03-18,600276,0.0013
2026-03-18,600519,0.0009
2026-03-18,601012,0.0025
2026-03-18,601318,0.0004
2026-03-19,000333,0.0004
2026-03-19,000858,-0.0006
2026-03-19,300750,0.0011
2026-03-19,600276,0.0002
2026-03-19,600519,0.0001
2026-03-19,601012,0.0008
2026-03-19,601318,-0.0001
2026-03-20,000333,-0.0017
2026-03-20,000858,-0.0010
2026-03-20,300750,-0.0029
2026-03-20,600276,-0.0005
2026-03-20,600519,-0.0003
2026-03-20,601012,-0.0021
2026-03-20,601318,-0.0006
2026-03-23,000333,0.0019
2026-03-23,000858,0.0014
2026-03-23,300750,0.0034
2026-03-23,600276,0.0010
2026-03-23,600519,0.0007
2026-03-23,601012,0.0022
2026-03-23,601318,0.0005
